序号,1、Please select the option that best describes your experience with OpenRice:,2、Please select the option that best describes your experience with OpenRice:,3、Which feature(s) did you concern during your last visit?,4、Rank the following features according to your level of concern during your last visit.,"5、On a scale of 1 to 5, how likely are you to consider the following UI features when making a choice?—Restaurant Information (e.g. Introduction, Address, Opening Hours etc) ","5、User interface elements (price, images, menu)",5、Pricing,5、The Appealing images,5、The detailed menu,5、The comments from other users,5、The rating from other users,5、The discounts or promotions,5、The detailed food descriptions,"6、To what extent do you agree with the statement about your personalities? Use a scale of 1 to 5, where 1 indicates ""Strongly Disagree"" and 5 indicates ""Strongly Agree.""—Is depressed, blue","6、Is relaxed, handles stress well",6、Can be tense,6、Worries a lot,"6、Is emotionally stable, not easily upset",6、Can be moody,6、Remains calm in tense situations,6、Gets nervous hardly,7、What is your gender?,8、Which age group do you belong?,9、What is the highest degree or level of education you have completed?,10、What is your current employment status?,"11、On a scale of 5, how well your expectations were met after reviewing OpenRice.","12、On a scale from 1 to 5, how would you rate your recent experience after perusing OpenRice?",13、Please provide the name of the last restaurant you dined at?,总分
189,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users┋Food Descriptions,"Appealing images→Pricing→Detailed Menu→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Very Important,Extremely Important,Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Normal,Normal,Male,Above 64,Primary school,Retired,Very Satisfied,Satisfied,維記咖啡粉麵,81
190,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Very Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Normal,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Male,25 - 34,Bachelor's degree,Employed Part-Time,Satisfied,Normal,強記美食,82
191,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Not Important at All,Not Important at All,Slightly Important,Not Important at All,Very Important,Moderately Important  ,Slightly Important,Slightly Important,Very Important,Strongly Disagree,Disagree,Normal,Agree,Strongly Disagree,Disagree,Disagree,Agree,Male,15 - 24,Bachelor's degree,Employed Part-Time,Unsatisfied,Satisfied,波記燒臘,45
192,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu→Appealing images",Not Important at All,Not Important at All,Not Important at All,Slightly Important,Slightly Important,Moderately Important  ,Moderately Important  ,Very Important,Slightly Important,Strongly Agree,Agree,Agree,Agree,Normal,Agree,Agree,Strongly Agree,Female,15 - 24,Associate degree / Diploma,Employed Part-Time,Satisfied,Normal,第三代肥仔小食店,59
193,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Comments from Other Users→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Appealing images",Very Important,Extremely Important,Very Important,Moderately Important  ,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Normal,Normal,Strongly Agree,Male,25 - 34,Associate degree / Diploma,Employed Part-Time,Satisfied,Satisfied,媽咪雞蛋仔,80
194,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Pricing→Comments from Other Users→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images",Extremely Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Very Important,Extremely Important,Very Important,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Male,15 - 24,Associate degree / Diploma,Employed Part-Time,Unsatisfied,Very Satisfied,佳佳甜品,82
195,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Rating→Discounts or Promotions→Pricing→Appealing images→Detailed Menu",Very Important,Moderately Important  ,Extremely Important,Moderately Important  ,Extremely Important,Moderately Important  ,Very Important,Very Important,Moderately Important  ,Agree,Agree,Strongly Agree,Normal,Agree,Agree,Agree,Normal,Female,15 - 24,Bachelor's degree,Seeking opportunities,Satisfied,Very Unsatisfied,蘭芳園,70
196,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Pricing→Appealing images",Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Moderately Important  ,Extremely Important,Extremely Important,Very Important,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Male,55 - 64,Primary school,Employed Part-Time,Normal,Satisfied,滿記甜品,84
197,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Pricing→Appealing images",Slightly Important,Not Important at All,Moderately Important  ,Moderately Important  ,Moderately Important  ,Moderately Important  ,Moderately Important  ,Not Important at All,Slightly Important,Disagree,Normal,Strongly Disagree,Agree,Normal,Disagree,Normal,Disagree,Female,Above 64,Primary school,Retired,Satisfied,Very Satisfied,興記菜館,50
198,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Extremely Important,Moderately Important  ,Moderately Important  ,Moderately Important  ,Extremely Important,Very Important,Very Important,Extremely Important,Strongly Agree,Normal,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Normal,Strongly Agree,Female,55 - 64,Primary school,Seeking opportunities,Very Unsatisfied,Very Satisfied,金華冰廳,77
199,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Comments from Other Users→Detailed Menu→Appealing images→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Not Important at All,Not Important at All,Very Important,Slightly Important,Slightly Important,Not Important at All,Not Important at All,Not Important at All,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Normal,Agree,Strongly Agree,Male,Above 64,Primary school,Retired,Very Satisfied,Very Unsatisfied,鳳城酒家,57
200,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Slightly Important,Very Important,Not Important at All,Not Important at All,Slightly Important,Moderately Important  ,Not Important at All,Not Important at All,Not Important at All,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Male,25 - 34,Bachelor's degree,Seeking opportunities,Satisfied,Unsatisfied,波記燒臘,34
201,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Pricing→Detailed Menu",Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Moderately Important  ,Extremely Important,Very Important,Agree,Strongly Agree,Agree,Agree,Agree,Normal,Strongly Agree,Normal,Female,25 - 34,Bachelor's degree,Employed Part-Time,Satisfied,Satisfied,蘭芳園,79
202,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Slightly Important,Not Important at All,Not Important at All,Slightly Important,Not Important at All,Not Important at All,Slightly Important,Moderately Important  ,Slightly Important,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Normal,Agree,Strongly Agree,Male,35 - 44,Bachelor's degree,Seeking opportunities,Satisfied,Unsatisfied,新斗記,55
